"metric_month","user_id","cohort_month","User Language","User Age","Game Name","MRR","Paid Users Count","New MRR","Is New Paid User","Expansion MRR","Contraction MRR","Churned Users Count","Churned Revenue"
2022-03-01,"3iITAz/ADjFv3PDTgTjxSg==",2022-03-01,ru,16,game 3,23.76,1,23.76,1,0,0,0,0
2022-03-01,"4b7l8C489HEJirtoe7xtFg==",2022-03-01,uk,20,game 3,27.15,1,27.15,1,0,0,0,0
2022-03-01,"4btLP2zvi8eBV0t08fdkKQ==",2022-03-01,ru,20,game 3,17.79,1,17.79,1,0,0,0,0
2022-03-01,"72brUr/DKItStlTen5pHYg==",2022-03-01,uk,24,game 3,24.15,1,24.15,1,0,0,1,-24.15
2022-03-01,"75lEf3nSWLSf6GncqhR9gQ==",2022-03-01,ru,22,game 3,14.1,1,14.1,1,0,0,0,0
2022-03-01,"787jk0VnxM8/sv/0TkvO6A==",2022-03-01,uk,20,game 3,48.45,1,48.45,1,0,0,0,0
2022-03-01,"7EPlnA7OQ9MhMx+od6FA9g==",2022-03-01,ru,23,game 3,158.67,1,158.67,1,0,0,0,0
2022-03-01,"7GE5h/3N3lcro3K9T3aujw==",2022-03-01,ru,32,game 3,38.52,1,38.52,1,0,0,0,0
2022-03-01,"7SeM1pmnTTTXfhI+x3ldng==",2022-03-01,ru,22,game 3,34.74,1,34.74,1,0,0,0,0
2022-03-01,"99X4aLWWjAIgmlXjrXQIgg==",2022-03-01,ru,22,game 3,16.98,1,16.98,1,0,0,1,-16.98
2022-03-01,A1qVjssGQ+ZUWZu3Z5DzTA==,2022-03-01,uk,24,game 3,45.27,1,45.27,1,0,0,0,0
2022-03-01,AN9at3LlvDamqXq8dvHD4w==,2022-03-01,ru,24,game 3,42.03,1,42.03,1,0,0,0,0
2022-03-01,b3TBQFxyCxxypmPajF+jXw==,2022-03-01,uk,15,game 3,13.98,1,13.98,1,0,0,0,0
2022-03-01,B4b6v6eUHvAVOeAQk6EEiw==,2022-03-01,ru,23,game 3,15.3,1,15.3,1,0,0,0,0
2022-03-01,Bcs3CbYx2EpbL9otxlEUmg==,2022-03-01,uk,18,game 3,89.22,1,89.22,1,0,0,1,-89.22
2022-03-01,CCwTMcGtpirFFuqzSeTyaQ==,2022-03-01,uk,18,game 3,15.84,1,15.84,1,0,0,0,0
2022-03-01,Fx9+2aYPOHAS3fdXpLQ9Pg==,2022-03-01,ru,35,game 3,12.54,1,12.54,1,0,0,1,-12.54
2022-03-01,Ghk2iJmzSUW4qLsmJgwOcw==,2022-03-01,uk,16,game 3,17.13,1,17.13,1,0,0,0,0
2022-03-01,H44DjZG42orzuBXLai7JkA==,2022-03-01,ru,29,game 3,13.32,1,13.32,1,0,0,1,-13.32
2022-03-01,HJccOn6v5KHqBa8wRu42oQ==,2022-03-01,uk,20,game 3,27.6,1,27.6,1,0,0,1,-27.6
2022-03-01,HxWcXHURvvtOJkrXAcDxQg==,2022-03-01,uk,15,game 3,66.18,1,66.18,1,0,0,0,0
2022-03-01,iFFApiXZ2wPdS666BLpKZw==,2022-03-01,uk,18,game 3,26.85,1,26.85,1,0,0,0,0
2022-03-01,J6WNl39fdxaY8ZtvV8wNkw==,2022-03-01,uk,18,game 3,16.14,1,16.14,1,0,0,0,0
2022-03-01,Jp0hnV9XOJGVV5jpFhlqgQ==,2022-03-01,uk,25,game 3,122.64,1,122.64,1,0,0,0,0
2022-03-01,jVhb69DTRT5TSWYEiUrlbg==,2022-03-01,uk,20,game 3,17.46,1,17.46,1,0,0,0,0
2022-03-01,l3sFUsG2qpcnrEzwRnjvtQ==,2022-03-01,ru,15,game 3,38.1,1,38.1,1,0,0,0,0
2022-03-01,NMmQVq8bB84KydONJjvTfQ==,2022-03-01,uk,18,game 3,15.33,1,15.33,1,0,0,1,-15.33
2022-03-01,o55dseByUOl9s5IQCz1kuQ==,2022-03-01,uk,22,game 3,23.16,1,23.16,1,0,0,0,0
2022-03-01,prNQwR2IPPsvGpFgOpcGaQ==,2022-03-01,uk,14,game 3,15.66,1,15.66,1,0,0,1,-15.66
2022-03-01,pz7LUOs9i7xgncmHVxQvOw==,2022-03-01,ru,24,game 3,36.51,1,36.51,1,0,0,0,0
2022-03-01,s27V1tbCAysovKSY1XcdWQ==,2022-03-01,uk,34,game 3,22.95,1,22.95,1,0,0,0,0
2022-03-01,SyWxmJ+Ha8K2C9UJt8blVA==,2022-03-01,ru,25,game 3,55.62,1,55.62,1,0,0,0,0
2022-03-01,T+RA0/fgzbUBLF89D4AEDA==,2022-03-01,ru,23,game 3,16.11,1,16.11,1,0,0,0,0
2022-03-01,Uen3Ap0lnrgWVWJtFCSo7g==,2022-03-01,ru,17,game 3,20.79,1,20.79,1,0,0,1,-20.79
2022-03-01,V7J42heW8l19wiBJ8UpRyw==,2022-03-01,ru,25,game 3,49.8,1,49.8,1,0,0,0,0
2022-03-01,Veep00i4vvZbTAVD6GMoiA==,2022-03-01,uk,38,game 3,12.72,1,12.72,1,0,0,0,0
2022-03-01,W6fRYNhsTNHQkvkoFEUaVQ==,2022-03-01,uk,16,game 3,48.33,1,48.33,1,0,0,0,0
2022-03-01,XE2e8BsmBo72HxABlJmsRw==,2022-03-01,uk,20,game 3,38.16,1,38.16,1,0,0,1,-38.16
2022-03-01,xiXTXOEbWU+HnGOUmgc9/w==,2022-03-01,uk,20,game 3,24.18,1,24.18,1,0,0,0,0
2022-03-01,Y/nf8iBu/UCaNAuIRRjVwA==,2022-03-01,uk,15,game 3,24.27,1,24.27,1,0,0,0,0
2022-03-01,ZeMBdi9hmR0vUv+lyZiypQ==,2022-03-01,uk,22,game 3,25.41,1,25.41,1,0,0,1,-25.41
2022-03-01,ZmjMhgyYl6o8iFq964FEWg==,2022-03-01,ru,17,game 3,54.6,1,54.6,1,0,0,0,0
2022-03-01,zSepnWFgLH0tQb1s4mxKZQ==,2022-03-01,uk,24,game 3,23.01,1,23.01,1,0,0,0,0
2022-04-01,"06RPvlsFPCmM9ag+iSM/Ag==",2022-04-01,ru,34,game 3,12.03,1,12.03,1,0,0,0,0
2022-04-01,"2FYEYdoJMUOtbJ6TruruWA==",2022-04-01,ru,20,game 3,56.85,1,56.85,1,0,0,0,0
2022-04-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-04-01,uk,23,game 3,54.96,1,54.96,1,0,0,0,0
2022-04-01,"3iITAz/ADjFv3PDTgTjxSg==",2022-03-01,ru,16,game 3,81.42,1,0,0,57.66,0,0,0
2022-04-01,"3Whh6FLR1MSfsuHKVdCEYQ==",2022-04-01,uk,21,game 3,59.67,1,59.67,1,0,0,0,0
2022-04-01,"4b7l8C489HEJirtoe7xtFg==",2022-03-01,uk,20,game 3,14.94,1,0,0,0,-12.21,0,0
2022-04-01,"4btLP2zvi8eBV0t08fdkKQ==",2022-03-01,ru,20,game 3,125.97,1,0,0,108.18,0,0,0
2022-04-01,"75lEf3nSWLSf6GncqhR9gQ==",2022-03-01,ru,22,game 3,65.97,1,0,0,51.87,0,0,0
2022-04-01,"787jk0VnxM8/sv/0TkvO6A==",2022-03-01,uk,20,game 3,53.49,1,0,0,5.04,0,0,0
2022-04-01,"7EPlnA7OQ9MhMx+od6FA9g==",2022-03-01,ru,23,game 3,114.15,1,0,0,0,-44.52,0,0
2022-04-01,"7GE5h/3N3lcro3K9T3aujw==",2022-03-01,ru,32,game 3,58.2,1,0,0,19.68,0,0,0
2022-04-01,"7luG+f1d+Ri4AjeMbFR1Xw==",2022-04-01,uk,29,game 3,16.92,1,16.92,1,0,0,1,-16.92
2022-04-01,"7SeM1pmnTTTXfhI+x3ldng==",2022-03-01,ru,22,game 3,105.96,1,0,0,71.22,0,0,0
2022-04-01,"7zbxKst2yi3pfdVI8iEChw==",2022-04-01,ru,15,game 3,23.31,1,23.31,1,0,0,1,-23.31
2022-04-01,A1qVjssGQ+ZUWZu3Z5DzTA==,2022-03-01,uk,24,game 3,13.95,1,0,0,0,-31.32,1,-13.95
2022-04-01,AN9at3LlvDamqXq8dvHD4w==,2022-03-01,ru,24,game 3,64.5,1,0,0,22.47,0,0,0
2022-04-01,aQDvOXzsDAJWi3Y47ptRPg==,2022-04-01,ru,20,game 3,15.21,1,15.21,1,0,0,0,0
2022-04-01,b3TBQFxyCxxypmPajF+jXw==,2022-03-01,uk,15,game 3,14.82,1,0,0,0.84,0,0,0
2022-04-01,B4b6v6eUHvAVOeAQk6EEiw==,2022-03-01,ru,23,game 3,63.6,1,0,0,48.3,0,1,-63.6
2022-04-01,BJlqmsfEshc/QjsD7VgEjg==,2022-04-01,ru,18,game 3,30.66,1,30.66,1,0,0,1,-30.66
2022-04-01,CCwTMcGtpirFFuqzSeTyaQ==,2022-03-01,uk,18,game 3,20.76,1,0,0,4.92,0,1,-20.76
2022-04-01,Dbff3x5cRk6/tUY3WQdzFQ==,2022-04-01,uk,21,game 3,60.57,1,60.57,1,0,0,0,0
2022-04-01,DorDcyqBWMg5IEaflqn5Xw==,2022-04-01,ru,23,game 3,50.16,1,50.16,1,0,0,0,0
2022-04-01,dpfu6t8G4blqMn55KM8bSg==,2022-04-01,uk,16,game 3,33.03,1,33.03,1,0,0,0,0
2022-04-01,DqezK7HAqZ+GovyRuzxD1A==,2022-04-01,uk,23,game 3,83.19,1,83.19,1,0,0,0,0
2022-04-01,eCd4MBHIR4qUWapg05TFLQ==,2022-04-01,ru,18,game 3,23.04,1,23.04,1,0,0,0,0
2022-04-01,F9Jtg6+0qPUKWDgBJxG8cA==,2022-04-01,ru,18,game 3,48.45,1,48.45,1,0,0,1,-48.45
2022-04-01,fCdEizmUtnjNYQLbx81H8g==,2022-04-01,ru,16,game 3,18.12,1,18.12,1,0,0,1,-18.12
2022-04-01,Fqu+/F0rn1G4YP3f3yHA1Q==,2022-04-01,uk,21,game 3,26.28,1,26.28,1,0,0,0,0
2022-04-01,GEAVJz1gd3SThbDZR01fcA==,2022-04-01,uk,14,game 3,87.36,1,87.36,1,0,0,0,0
2022-04-01,Ghk2iJmzSUW4qLsmJgwOcw==,2022-03-01,uk,16,game 3,128.4,1,0,0,111.27,0,0,0
2022-04-01,gPRMy8HkmaiyX+13OxuP/A==,2022-04-01,ru,21,game 3,55.86,1,55.86,1,0,0,0,0
2022-04-01,Grpkzd4XIHh+ZbTMNxnUGg==,2022-04-01,ru,30,game 3,35.55,1,35.55,1,0,0,0,0
2022-04-01,H2Tik+BqoLgAQX4uSw/8vA==,2022-04-01,uk,30,game 3,14.34,1,14.34,1,0,0,0,0
2022-04-01,Hamw6F2EZmJfI2glmE2NEg==,2022-04-01,ru,24,game 3,42.24,1,42.24,1,0,0,0,0
2022-04-01,hkNuy6dTFIFcsQQfT5YkwQ==,2022-04-01,uk,21,game 3,20.25,1,20.25,1,0,0,1,-20.25
2022-04-01,HRBsRwGu5mkTvZBTNpA0tQ==,2022-04-01,ru,17,game 3,59.64,1,59.64,1,0,0,0,0
2022-04-01,hRkRI5YBVIH6bbqIDTbung==,2022-04-01,uk,19,game 3,67.26,1,67.26,1,0,0,0,0
2022-04-01,HxWcXHURvvtOJkrXAcDxQg==,2022-03-01,uk,15,game 3,82.53,1,0,0,16.35,0,0,0
2022-04-01,HZqx1XVZ1mb7lM9T61x+DA==,2022-04-01,ru,43,game 3,14.61,1,14.61,1,0,0,1,-14.61
2022-04-01,iFFApiXZ2wPdS666BLpKZw==,2022-03-01,uk,18,game 3,49.92,1,0,0,23.07,0,1,-49.92
2022-04-01,iFnn4bfYgNs8OS5MCcLjeA==,2022-04-01,uk,28,game 3,18.39,1,18.39,1,0,0,1,-18.39
2022-04-01,ilnMSoPJHAYMegDX02XG+w==,2022-04-01,uk,25,game 3,54.03,1,54.03,1,0,0,0,0
2022-04-01,J6WNl39fdxaY8ZtvV8wNkw==,2022-03-01,uk,18,game 3,18.42,1,0,0,2.28,0,0,0
2022-04-01,Jp0hnV9XOJGVV5jpFhlqgQ==,2022-03-01,uk,25,game 3,56.16,1,0,0,0,-66.48,0,0
2022-04-01,jVhb69DTRT5TSWYEiUrlbg==,2022-03-01,uk,20,game 3,58.44,1,0,0,40.98,0,0,0
2022-04-01,K/6KHxREKTlFZXRfBNVNuQ==,2022-04-01,ru,19,game 3,41.46,1,41.46,1,0,0,0,0
2022-04-01,l3sFUsG2qpcnrEzwRnjvtQ==,2022-03-01,ru,15,game 3,59.73,1,0,0,21.63,0,1,-59.73
2022-04-01,lCD23Awt3KotauWenCRr5w==,2022-04-01,uk,20,game 3,47.94,1,47.94,1,0,0,0,0
2022-04-01,Lug+Yg90jslWgHEN6dc+Ng==,2022-04-01,uk,21,game 3,82.23,1,82.23,1,0,0,1,-82.23
2022-04-01,nklUUkirU5GYU5ZtNOgx8w==,2022-04-01,ru,20,game 3,19.11,1,19.11,1,0,0,0,0
2022-04-01,nPrRQwP3UZo2KBlM2mJ8fg==,2022-04-01,uk,24,game 3,31.68,1,31.68,1,0,0,0,0
2022-04-01,o55dseByUOl9s5IQCz1kuQ==,2022-03-01,uk,22,game 3,86.88,1,0,0,63.72,0,0,0
2022-04-01,ojVPXYZw2oeGtcmG7LcLGA==,2022-04-01,en,20,game 3,21.33,1,21.33,1,0,0,0,0
2022-04-01,orbgZNBGuhZZx63HTAbyIw==,2022-04-01,uk,25,game 3,62.13,1,62.13,1,0,0,0,0
2022-04-01,OwODWxXcsV4bBnhONiLkwg==,2022-04-01,uk,25,game 3,14.37,1,14.37,1,0,0,1,-14.37
2022-04-01,pz7LUOs9i7xgncmHVxQvOw==,2022-03-01,ru,24,game 3,19.5,1,0,0,0,-17.01,0,0
2022-04-01,s27V1tbCAysovKSY1XcdWQ==,2022-03-01,uk,34,game 3,39.48,1,0,0,16.53,0,0,0
2022-04-01,ShEJVi+TtuQlvdw2uetd/Q==,2022-04-01,uk,22,game 3,131.97,1,131.97,1,0,0,0,0
2022-04-01,SyWxmJ+Ha8K2C9UJt8blVA==,2022-03-01,ru,25,game 3,16.8,1,0,0,0,-38.82,1,-16.8
2022-04-01,T+RA0/fgzbUBLF89D4AEDA==,2022-03-01,ru,23,game 3,45.48,1,0,0,29.37,0,1,-45.48
2022-04-01,TWDA+aUZ8OPMHOtz5cPPXA==,2022-04-01,ru,20,game 3,62.58,1,62.58,1,0,0,0,0
2022-04-01,V7J42heW8l19wiBJ8UpRyw==,2022-03-01,ru,25,game 3,36.84,1,0,0,0,-12.96,0,0
2022-04-01,Veep00i4vvZbTAVD6GMoiA==,2022-03-01,uk,38,game 3,48.33,1,0,0,35.61,0,1,-48.33
2022-04-01,W6fRYNhsTNHQkvkoFEUaVQ==,2022-03-01,uk,16,game 3,57.72,1,0,0,9.39,0,0,0
2022-04-01,WAdVK2sJHdBL0bCFyVa0ww==,2022-04-01,uk,14,game 3,24.09,1,24.09,1,0,0,1,-24.09
2022-04-01,Wua5DlzLb2yNeSrcG9Xi3g==,2022-04-01,uk,23,game 3,59.85,1,59.85,1,0,0,0,0
2022-04-01,xiXTXOEbWU+HnGOUmgc9/w==,2022-03-01,uk,20,game 3,99.84,1,0,0,75.66,0,0,0
2022-04-01,xnLJlU804PSS9tXKmm7gZQ==,2022-04-01,ru,21,game 3,26.61,1,26.61,1,0,0,0,0
2022-04-01,Y/nf8iBu/UCaNAuIRRjVwA==,2022-03-01,uk,15,game 3,20.43,1,0,0,0,-3.84,0,0
2022-04-01,ZmjMhgyYl6o8iFq964FEWg==,2022-03-01,ru,17,game 3,56.7,1,0,0,2.1,0,0,0
2022-04-01,zSepnWFgLH0tQb1s4mxKZQ==,2022-03-01,uk,24,game 3,71.52,1,0,0,48.51,0,0,0
2022-04-01,ZxxZ87IcpgSh4lQ/VSIjnA==,2022-04-01,uk,22,game 3,42.18,1,42.18,1,0,0,0,0
2022-05-01,"06RPvlsFPCmM9ag+iSM/Ag==",2022-04-01,ru,34,game 3,28.32,1,0,0,16.29,0,0,0
2022-05-01,"0A5RkQrm+GBgG7KSFk/xhw==",2022-05-01,uk,31,game 3,13.8,1,13.8,1,0,0,0,0
2022-05-01,"2FYEYdoJMUOtbJ6TruruWA==",2022-04-01,ru,20,game 3,30.33,1,0,0,0,-26.52,0,0
2022-05-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-04-01,uk,23,game 3,72.06,1,0,0,17.1,0,0,0
2022-05-01,"3iITAz/ADjFv3PDTgTjxSg==",2022-03-01,ru,16,game 3,15.69,1,0,0,0,-65.73,0,0
2022-05-01,"3rCdNEPkh3vwmYB0BVadEw==",2022-05-01,ru,27,game 3,22.86,1,22.86,1,0,0,1,-22.86
2022-05-01,"3Whh6FLR1MSfsuHKVdCEYQ==",2022-04-01,uk,21,game 3,12.36,1,0,0,0,-47.31,0,0
2022-05-01,"4b7l8C489HEJirtoe7xtFg==",2022-03-01,uk,20,game 3,26.4,1,0,0,11.46,0,0,0
2022-05-01,"4btLP2zvi8eBV0t08fdkKQ==",2022-03-01,ru,20,game 3,91.68,1,0,0,0,-34.29,0,0
2022-05-01,"4oH5e29koOH9zNYW8Kwcsg==",2022-05-01,uk,28,game 3,12.99,1,12.99,1,0,0,1,-12.99
2022-05-01,"6We7zBO7mVbNxGEl/xPKVg==",2022-05-01,uk,19,game 3,22.74,1,22.74,1,0,0,0,0
2022-05-01,"72brUr/DKItStlTen5pHYg==",2022-03-01,uk,24,game 3,19.92,1,0,0,0,-4.23,0,0
2022-05-01,"75lEf3nSWLSf6GncqhR9gQ==",2022-03-01,ru,22,game 3,58.26,1,0,0,0,-7.71,0,0
2022-05-01,"787jk0VnxM8/sv/0TkvO6A==",2022-03-01,uk,20,game 3,36.75,1,0,0,0,-16.74,0,0
2022-05-01,"7EPlnA7OQ9MhMx+od6FA9g==",2022-03-01,ru,23,game 3,51.18,1,0,0,0,-62.97,0,0
2022-05-01,"7ew71UmoMb73L41PM/YL/w==",2022-05-01,uk,17,game 3,32.1,1,32.1,1,0,0,0,0
2022-05-01,"7GE5h/3N3lcro3K9T3aujw==",2022-03-01,ru,32,game 3,118.95,1,0,0,60.75,0,0,0
2022-05-01,"7SeM1pmnTTTXfhI+x3ldng==",2022-03-01,ru,22,game 3,62.61,1,0,0,0,-43.35,1,-62.61
2022-05-01,"8TTRdxncZg7Nl0tvfwsZng==",2022-05-01,uk,30,game 3,14.25,1,14.25,1,0,0,1,-14.25
2022-05-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",2022-05-01,ru,24,game 3,12.48,1,12.48,1,0,0,0,0
2022-05-01,an5Xsrpir8vvhTb50gnppQ==,2022-05-01,uk,43,game 3,15.51,1,15.51,1,0,0,1,-15.51
2022-05-01,AN9at3LlvDamqXq8dvHD4w==,2022-03-01,ru,24,game 3,66.57,1,0,0,2.07,0,0,0
2022-05-01,aQDvOXzsDAJWi3Y47ptRPg==,2022-04-01,ru,20,game 3,39.3,1,0,0,24.09,0,0,0
